epoch	loss	prec1	prec5	lr
1	2.411592483520508	20.482654571533203	53.604827880859375	0.1
2	1.7514488697052002	43.01659393310547	83.52941131591797	0.1
3	1.434024691581726	55.32428741455078	87.66214752197266	0.1
4	1.2745808362960815	61.146305084228516	89.14027404785156	0.1
5	1.1708757877349854	64.70588684082031	89.77375793457031	0.1
6	1.1039810180664062	67.81297302246094	90.0754165649414	0.1
7	1.0402015447616577	69.38159942626953	90.9200668334961	0.1
8	1.0114798545837402	70.43740844726562	91.04072570800781	0.1
9	1.0026350021362305	70.0754165649414	90.6787338256836	0.1
10	0.9542960524559021	71.8853759765625	91.79487609863281	0.1
11	0.9506939649581909	71.85520935058594	91.37255096435547	0.1
12	0.8531197905540466	74.96229553222656	92.24736022949219	0.1
13	0.9082590341567993	72.82051849365234	91.70437622070312	0.1
14	0.9292361736297607	72.398193359375	91.31221771240234	0.1
15	0.8456125259399414	75.4449462890625	91.31221771240234	0.1
16	0.8844766616821289	74.14781951904297	91.04072570800781	0.1
17	0.8483607769012451	75.47511291503906	92.57918548583984	0.1
18	0.7914736866950989	76.47058868408203	92.63951873779297	0.1
19	0.8069226741790771	76.4102554321289	92.06636810302734	0.1
20	0.8038669228553772	76.44042205810547	91.79487609863281	0.1
21	0.7936469912528992	76.9532470703125	92.94117736816406	0.1
22	0.7655405402183533	77.88838958740234	91.97586822509766	0.1
23	0.7537994384765625	77.97888946533203	93.06184387207031	0.1
24	0.7638208866119385	77.88838958740234	92.03620147705078	0.1
25	0.7794247269630432	76.86274719238281	92.24736022949219	0.1
26	0.7426575422286987	78.03921508789062	92.30769348144531	0.1
27	0.747482180595398	76.86274719238281	92.6093521118164	0.1
28	0.6975716352462769	79.1855239868164	92.57918548583984	0.1
29	0.7054757475852966	79.12519073486328	92.03620147705078	0.1
30	0.6267422437667847	82.20211791992188	93.93665313720703	0.010000000000000002
31	0.6032839417457581	81.87029266357422	93.57466125488281	0.010000000000000002
32	0.5852764248847961	83.01659393310547	93.2126693725586	0.010000000000000002
33	0.5724502801895142	82.7752685546875	93.18251037597656	0.010000000000000002
34	0.5810261964797974	82.62443542480469	93.3635025024414	0.010000000000000002
35	0.5449737906455994	83.5897445678711	93.9668197631836	0.010000000000000002
36	0.5443476438522339	83.92156982421875	94.26847839355469	0.010000000000000002
37	0.5602566003799438	82.9864273071289	92.82051849365234	0.010000000000000002
38	0.5283246636390686	84.40422821044922	93.69532775878906	0.010000000000000002
39	0.540810227394104	83.13726043701172	94.05731964111328	0.010000000000000002
40	0.525905430316925	84.5550537109375	93.72549438476562	0.010000000000000002
41	0.5335716009140015	84.22322845458984	93.84616088867188	0.010000000000000002
42	0.531898558139801	84.13273620605469	93.69532775878906	0.010000000000000002
43	0.5298537611961365	84.042236328125	93.6651611328125	0.010000000000000002
44	0.526552677154541	84.22322845458984	94.20814514160156	0.010000000000000002
45	0.5275613069534302	84.3438949584961	93.9668197631836	0.0010000000000000002
46	0.5253504514694214	83.68024444580078	94.66063690185547	0.0010000000000000002
47	0.5187421441078186	84.31372833251953	94.05731964111328	0.0010000000000000002
48	0.47736236453056335	85.822021484375	94.78130340576172	0.0010000000000000002
49	0.5137951970100403	84.3438949584961	93.84616088867188	0.0010000000000000002
50	0.49948301911354065	85.73152923583984	94.50980377197266	0.0010000000000000002
51	0.49409744143486023	85.21870422363281	94.44947814941406	0.0010000000000000002
52	0.5223609805107117	84.3438949584961	94.08748626708984	0.0010000000000000002
53	0.4800974726676941	85.58069610595703	94.6304702758789	0.0010000000000000002
54	0.5021376013755798	84.31372833251953	94.14781951904297	0.0010000000000000002
55	0.4933847188949585	84.82654571533203	93.63499450683594	0.00010000000000000003
56	0.5177528858184814	84.52488708496094	94.47964477539062	0.00010000000000000003
57	0.5016867518424988	84.49472045898438	94.35897827148438	0.00010000000000000003
58	0.5327270030975342	84.49472045898438	94.05731964111328	0.00010000000000000003
59	0.5158637762069702	84.52488708496094	94.14781951904297	0.00010000000000000003
60	0.5156086087226868	84.31372833251953	94.08748626708984	0.00010000000000000003
