epoch	batch	iter	loss	prec1	prec5	lr
1	1	1	2.719754934310913	9.375	25.0	0.1
1	2	2	2.733441114425659	3.125	18.75	0.1
1	3	3	2.662886619567871	15.625	40.625	0.1
1	4	4	2.6457674503326416	15.625	46.875	0.1
1	5	5	2.7193684577941895	6.25	34.375	0.1
1	6	6	2.734543800354004	9.375	31.25	0.1
1	7	7	2.6825480461120605	9.375	37.5	0.1
1	8	8	2.7532858848571777	6.25	31.25	0.1
1	9	9	2.833061456680298	0.0	18.75	0.1
1	10	10	2.778298854827881	9.375	28.125	0.1
1	11	11	2.813281297683716	6.25	28.125	0.1
1	12	12	2.822874069213867	0.0	34.375	0.1
1	13	13	2.8264095783233643	6.25	28.125	0.1
1	14	14	2.6876413822174072	6.25	34.375	0.1
1	15	15	2.8691647052764893	3.125	15.625	0.1
1	16	16	2.6960365772247314	6.25	31.25	0.1
1	17	17	2.752873182296753	6.25	43.75	0.1
1	18	18	2.7160568237304688	9.375	34.375	0.1
1	19	19	2.6191465854644775	15.625	43.75	0.1
1	20	20	2.618882656097412	9.375	43.75	0.1
1	21	21	2.7928385734558105	9.375	25.0	0.1
1	22	22	2.5274055004119873	18.75	50.0	0.1
1	23	23	2.6173298358917236	12.5	40.625	0.1
1	24	24	2.6689436435699463	12.5	37.5	0.1
1	25	25	2.635272979736328	12.5	46.875	0.1
1	26	26	2.651780843734741	12.5	37.5	0.1
1	27	27	2.5821523666381836	9.375	46.875	0.1
1	28	28	2.77135968208313	0.0	31.25	0.1
1	29	29	2.7045938968658447	3.125	34.375	0.1
1	30	30	2.5851242542266846	15.625	43.75	0.1
1	31	31	2.5930545330047607	15.625	34.375	0.1
1	32	32	2.5964443683624268	9.375	46.875	0.1
1	33	33	2.6520090103149414	9.375	28.125	0.1
1	34	34	2.545755386352539	18.75	34.375	0.1
1	35	35	2.5464298725128174	18.75	43.75	0.1
1	36	36	2.465597152709961	18.75	53.125	0.1
1	37	37	2.494030475616455	21.875	53.125	0.1
1	38	38	2.432901382446289	28.125	50.0	0.1
1	39	39	2.4630513191223145	21.875	56.25	0.1
1	40	40	2.449378728866577	12.5	56.25	0.1
1	41	41	2.5097224712371826	12.5	50.0	0.1
1	42	42	2.386943817138672	18.75	53.125	0.1
1	43	43	2.3692991733551025	18.75	56.25	0.1
1	44	44	2.381777048110962	31.25	56.25	0.1
1	45	45	2.549751043319702	15.625	46.875	0.1
1	46	46	2.3979921340942383	15.625	68.75	0.1
