epoch	loss	prec1	prec5	lr
1	1.52627694606781	55.348236083984375	88.86014556884766	0.1
2	1.2424522638320923	71.88249969482422	93.3216323852539	0.1
3	1.0976678133010864	76.0668716430664	94.23609924316406	0.1
4	1.0524537563323975	76.40864562988281	94.52244567871094	0.1
5	1.0521262884140015	77.03675842285156	94.27304077148438	0.1
6	0.9356788396835327	77.6279296875	94.23609924316406	0.1
7	0.9392349123954773	78.34841918945312	94.77184295654297	0.1
8	0.8909034132957458	79.71549987792969	95.21521759033203	0.1
9	0.8880518078804016	79.66007232666016	95.10437774658203	0.1
10	0.89533931016922	80.18658447265625	95.03971862792969	0.1
11	0.8642524480819702	80.23277282714844	95.24292755126953	0.1
12	0.8579373955726624	80.18658447265625	95.27064514160156	0.1
13	0.8603477478027344	80.49140930175781	95.021240234375	0.1
14	0.9016221761703491	79.67855072021484	94.92887115478516	0.1
15	0.8236881494522095	80.2235336303711	95.85257720947266	0.1
16	0.8465067148208618	80.81470489501953	94.94734954833984	0.1
17	0.8227871656417847	80.99944305419922	95.22445678710938	0.1
18	0.8489574193954468	80.53759002685547	95.34453582763672	0.1
19	0.8712205290794373	80.58377838134766	95.53851318359375	0.1
20	0.849543035030365	80.78699493408203	94.910400390625	0.1
21	0.8077506422996521	82.09864807128906	95.22445678710938	0.1
22	0.7905426621437073	82.24644470214844	95.18750762939453	0.1
23	0.7844669818878174	81.91390991210938	95.4923324584961	0.1
24	0.8488465547561646	81.19342041015625	95.09513854980469	0.1
25	0.7648307085037231	81.59061431884766	95.4461441040039	0.1
26	0.8576667308807373	80.55606842041016	94.81803131103516	0.1
27	0.7628027200698853	82.09864807128906	95.3630142211914	0.1
28	0.8069044351577759	81.70145416259766	95.06742858886719	0.1
29	0.7990797758102417	82.17254638671875	95.4923324584961	0.1
30	0.6396667957305908	84.19544982910156	95.95418548583984	0.010000000000000002
31	0.556236982345581	86.11675262451172	96.41603088378906	0.010000000000000002
32	0.5731338858604431	86.35691833496094	96.4714584350586	0.010000000000000002
33	0.5419632792472839	87.00350952148438	96.57305908203125	0.010000000000000002
34	0.5605985522270203	86.78182220458984	96.80398559570312	0.010000000000000002
35	0.5352760553359985	87.17900848388672	96.82246398925781	0.010000000000000002
36	0.5217707753181458	87.00350952148438	96.68390655517578	0.010000000000000002
37	0.5321009159088135	87.1974868774414	96.71161651611328	0.010000000000000002
38	0.529536247253418	86.81876373291016	96.9794921875	0.010000000000000002
39	0.5219005346298218	87.3545150756836	96.73932647705078	0.010000000000000002
40	0.5260862708091736	87.34527587890625	96.69314575195312	0.010000000000000002
41	0.5147107839584351	87.49307250976562	96.54534912109375	0.010000000000000002
42	0.5139427185058594	87.13282775878906	96.71161651611328	0.010000000000000002
43	0.49231797456741333	87.53002166748047	96.59153747558594	0.010000000000000002
44	0.5194925665855408	87.71475982666016	96.73009490966797	0.010000000000000002
45	0.5122910737991333	87.53925323486328	96.5268783569336	0.0010000000000000002
46	0.48875245451927185	88.2320327758789	96.87788391113281	0.0010000000000000002
47	0.5002548694610596	87.67781066894531	96.71161651611328	0.0010000000000000002
48	0.49762725830078125	88.05652618408203	96.61924743652344	0.0010000000000000002
49	0.4835577607154846	88.14889526367188	96.85017395019531	0.0010000000000000002
50	0.49030426144599915	88.2874526977539	96.86864471435547	0.0010000000000000002
51	0.4703088700771332	87.87178802490234	97.09033203125	0.0010000000000000002
52	0.49419307708740234	87.46536254882812	96.74856567382812	0.0010000000000000002
53	0.47727569937705994	88.07500457763672	97.01644134521484	0.0010000000000000002
54	0.4995127022266388	87.97339630126953	96.86864471435547	0.0010000000000000002
55	0.47894594073295593	88.14889526367188	97.0626220703125	0.00010000000000000003
56	0.486672967672348	88.37059020996094	97.25659942626953	0.00010000000000000003
57	0.472036749124527	88.06576538085938	97.02567291259766	0.00010000000000000003
58	0.5041800141334534	87.96415710449219	96.87788391113281	0.00010000000000000003
59	0.47465524077415466	88.08423614501953	97.08110046386719	0.00010000000000000003
60	0.4876541197299957	88.13042449951172	97.10881042480469	0.00010000000000000003
